day_type,activity_id,delta_min,reason
workday,soaring,20,午后飞越地平线排队高于预测
workday,tron,15,明日世界热门项目临时拥挤
workday,seven_dwarfs,20,矿山车午后排队抬升
workday,pirates,-15,宝藏湾排队低于预测
workday,buzz,-5,互动项目排队略低
workday,peter_pan,10,梦幻世界亲子项目排队抬升
workday,crystal_grotto,-5,晶彩奇航排队低于预测
workday,roaring_rapids,10,漂流排队略高
weekend,soaring,35,双休日热门沉浸项目排队显著抬升
weekend,tron,30,双休日刺激类项目排队显著抬升
weekend,seven_dwarfs,35,双休日矿山车排队显著抬升
weekend,pirates,-10,宝藏湾排队低于预测
weekend,peter_pan,20,亲子项目排队抬升
weekend,pooh,10,低龄项目排队抬升
weekend,crystal_grotto,-10,休闲项目排队低于预测
weekend,buzz,5,互动项目排队略高
weekend,woody_roundup,-5,玩具总动员排队低于预测
weekend,roaring_rapids,25,漂流排队抬升
weekend,rex_racer,20,刺激项目排队抬升
holiday,soaring,55,节假日飞越地平线大幅拥挤
holiday,tron,50,节假日创极速光轮大幅拥挤
holiday,seven_dwarfs,50,节假日矿山车大幅拥挤
holiday,pirates,5,节假日沉浸项目略高
holiday,peter_pan,35,节假日亲子项目拥挤
holiday,pooh,25,节假日低龄项目拥挤
holiday,crystal_grotto,-15,休闲观光相对分流
holiday,buzz,20,互动项目排队抬升
holiday,roaring_rapids,40,漂流大幅拥挤
holiday,rex_racer,35,刺激项目拥挤
holiday,woody_roundup,10,亲子互动项目略高
